Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,2740,1.9,2.94,8054,1.83,1.89,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,6000,7.5,2.94,17640,3.97,4.11,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,12900,12.1,2.94,37926,8.53,8.83,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,27840,17.8,2.94,81850,18.42,19.06,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,60000,22.7,2.94,176400,39.69,41.09,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,129240,22.7,2.94,379966,85.50,88.50,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,278520,12.8,2.94,818849,184.26,190.72,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,physalus,20.2,47047,600000,2.5,2.94,1764000,396.95,410.87,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,6160,1.9,2.94,18109,1.29,1.37,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,13400,7.4,2.94,39396,2.80,2.99,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,28810,12.2,2.94,84701,6.02,6.42,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,62176,17.3,2.94,182797,12.99,13.85,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,134000,23.0,2.94,393960,28.00,29.85,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,288636,22.8,2.94,848590,60.40,64.39,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,622028,12.9,2.94,1828762,130.17,138.77,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,musculus,25.2,97000,1340000,2.5,2.94,3939600,280.42,298.94,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,17158,1.5,2.94,50445,1.09,1.22,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,37300,6.1,2.94,109662,2.38,2.65,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,80195,10.7,2.94,235773,5.11,5.71,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,173072,17.1,2.94,508832,11.03,12.32,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,373000,24.5,2.94,1096620,23.77,26.54,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,803442,24.2,2.94,2362119,51.19,57.17,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,1731466,13.3,2.94,5090510,110.32,123.20,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,huge,33,246000,3730000,2.5,2.94,10966200,237.65,265.41,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,124,8.8,4.58,566,1.07,1.18,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,268,21.1,4.58,1227,2.33,2.55,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,576,15.9,4.58,2639,5.00,5.49,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,1244,15.1,4.58,5695,10.79,11.85,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,13.5,4.58,12274,23.26,25.54,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,13.7,4.58,26439,50.09,55.02,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,12467,9.8,4.58,57098,107.96,118.58,0.68,,,,,,,,,,,,,
Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,26857,2.2,4.58,123003,232.56,255.44,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,915,36.0,1.67,1532,1.56,1.50,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,456,0.4,1.67,763,0.78,0.75,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,944,0.4,1.67,1580,1.61,1.54,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,661,31.1,1.67,1107,1.13,1.08,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,480,0.4,1.67,803,0.82,0.79,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,19,1.1,2.31,44,0.04,0.04,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,89,0.1,3.08,274,0.28,0.27,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,123,0.3,4.53,555,0.57,0.54,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,191,21.3,3.78,724,0.74,0.71,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,152,0.2,2.65,402,0.41,0.39,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,14516,0.0,2.65,38468,8.23,8.16,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,118,0.5,4.01,474,0.48,0.46,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,38,0.1,2.31,89,0.09,0.09,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,41,1.8,1.82,74,0.08,0.07,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,107,6.1,1.69,180,0.18,0.18,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,267,0.1,2.31,617,0.63,0.60,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,280,0.1,3.42,959,0.98,0.94,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,552,0.0,2.88,1589,1.62,1.55,0.68,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,6800,0.0,2.88,19584,4.19,4.16,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,50,10.0,4.01,201,1.22,0.66,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,150,17.3,4.01,602,3.65,1.99,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,250,12.0,4.01,1003,6.09,3.31,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,350,7.3,4.01,1404,8.53,4.64,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,450,13.3,4.01,1805,10.96,5.96,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,550,13.3,4.01,2206,13.40,7.29,0.68,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,650,10.0,4.01,2607,15.84,8.62,0.68,,,,,,,,,,,,,
