Order,Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,MR exponent,Total_Energy_in (J),Feeding_E_out (J),DiveSurf_E_out (J),Total_E_out (J),,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,1700,2.1,3.78,6426.0,1.40,0.75,55813666,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,1000,0.4,2.31,2310.0,0.50,0.75,20063736,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,1000,0.0,2.65,2650.0,0.58,0.75,23016840,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,1000,21.0,3.08,3080.0,0.67,0.75,26751648,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,1000,29.6,2.65,2650.0,0.58,0.75,23016840,7860986,31882011,39742997,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,800,9.4,2.31,1848.0,0.50,0.75,16050989,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,700,1.1,2.31,1617.0,0.44,0.75,14044615,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,600,21.0,4.53,2718.0,0.73,0.75,23607461,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,500,1.4,2.31,1155.0,0.31,0.75,10031868,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,500,0.0,3.77,1885.0,0.51,0.75,16372356,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,300,0.1,2.31,693.0,0.19,0.75,6019121,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,200,0.3,3.78,756.0,0.20,0.75,6566314,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,200,4.9,1.69,338.0,0.09,0.75,2935733,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,100,0.6,2.31,231.0,0.06,0.75,2006374,307878,31882011,32189889,,,,,
Odontoceti,Physeteridae,Physter,macrocephalus,12.3,19300,800,2.1,2.65,2310.0,0.57,0.75,18413472,307878,31882011,32189889,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,46,0.0,2.31,106,0.11,0.75,2936601,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,1183,0.0,2.31,2733,2.85,0.75,75521726,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,154,16.8,3.08,474,0.50,0.75,13108308,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,631,0.1,4.53,2859,2.98,0.75,79004239,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,259,30.5,3.78,1197,1.25,0.75,33081844,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,64,4.8,2.65,490,0.51,0.75,13555147,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,1675,1.2,4.01,3766,3.93,0.75,104085398,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,2257,0.8,3.78,3134,3.27,0.75,86600722,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,1729,0.0,3.08,5325,5.56,0.75,147170544,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,802,0.0,2.31,1853,1.93,0.75,51199006,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,221,0.6,2.31,510,0.53,0.75,14105826,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,272,4.2,1.82,183,0.19,0.75,5047214,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,79,32.3,1.69,138,0.14,0.75,3807902,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,181,8.8,2.31,418,0.44,0.75,11554888,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,87,0.0,3.77,328,0.34,0.75,9064332,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Ziphius,cavirostris,6.6,2900,65,0.0,3.77,244,0.25,0.75,6751364,1438146,25041540,26479687,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,915,36.0,1.67,1531.7,1.56,0.68,42329471,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,456,0.4,1.67,763.2,0.78,0.68,21090734,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,944,0.4,1.67,1579.9,1.61,0.68,43661519,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,661,31.1,1.67,1106.8,1.13,0.68,30586394,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,480,0.4,1.67,803.3,0.82,0.68,22200773,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,19,1.1,2.31,43.9,0.04,0.68,1212944,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,89,0.1,3.08,274.5,0.28,0.68,7584879,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,123,0.3,4.53,555.4,0.57,0.68,15348947,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,191,21.3,3.78,723.7,0.74,0.68,19999165,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,152,0.2,2.65,401.9,0.41,0.68,11108172,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,14516,0.0,2.65,38468.0,8.23,0.68,1063102736,103754058,25363039,129117097,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,118,0.5,4.01,473.5,0.48,0.68,13086736,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,38,0.1,2.31,88.6,0.09,0.68,2447743,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,41,1.8,1.82,74.2,0.08,0.68,2051710,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,107,6.1,1.69,180.4,0.18,0.68,4986724,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,267,0.1,2.31,617.0,0.63,0.68,17051704,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,280,0.1,3.42,959.3,0.98,0.68,26510220,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,552,0.0,2.88,1588.8,1.62,0.68,43908990,1802379,25363039,27165418,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,6800,0.0,2.88,19584.0,4.19,0.68,541223424,103754058,25363039,129117097,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,50,10.0,4.01,200.5,1.22,0.68,1266518,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,150,17.3,4.01,601.5,3.65,0.68,3799555,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,250,12.0,4.01,1002.5,6.09,0.68,6332592,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,350,7.3,4.01,1403.5,8.53,0.68,8865629,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,450,13.3,4.01,1804.5,10.96,0.68,11398666,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,550,13.3,4.01,2205.5,13.40,0.68,13931702,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,650,10.0,4.01,2606.5,15.84,0.68,16464739,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,750,4.7,4.01,3007.5,18.27,0.68,18997776,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,850,4.7,4.01,3408.5,20.71,0.68,21530813,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,950,4.7,4.01,3809.5,23.15,0.68,24063850,64287,968878,1033165,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,1050,2.0,4.01,4210.5,19.65,0.68,26596886,384696,968878,1353574,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,1150,0.7,4.01,4611.5,21.52,0.68,29129923,384696,968878,1353574,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,50,10.0,4.01,200.5,0.62,0.68,791574,271383,1011678,1283060,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,150,17.3,4.01,601.5,1.85,0.68,2374722,271383,1011678,1283060,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,250,12.0,4.01,1002.5,3.08,0.68,3957870,271383,1011678,1283060,,,,,
