ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
bp160914,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,157,340.21,195.08,12.90,-10.11,14.90,1.17,7.78,8.21,4.32,0.88,0.58,12,5,1.64,0.83,19.65,2.93,1.08
bp16_256a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,13,297.43,271.87,10.77,-12.23,12.77,1.11,9.31,6.21,4.46,0.59,0.52,9,6,0.84,0.71,6.55,3.77,0.95
bp170907-41b,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,152,305.33,188.35,10.09,-12.91,12.09,1.08,6.44,6.90,3.34,0.92,0.54,6,4,1.56,0.59,6.80,2.53,0.78
bw10_229b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,44,200.89,153.68,9.69,-12.91,12.09,1.08,8.02,5.68,4.12,0.63,0.54,4,3,0.49,0.41,4.22,2.78,0.60
bw10_230a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,37,220.65,170.78,8.13,-14.47,10.53,1.02,6.40,4.02,2.00,0.53,0.32,3,2,0.44,0.33,7.64,3.55,0.48
bw10_235a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,6,84.35,37.79,4.54,-18.06,6.94,0.84,2.91,,,,,1,1,0.66,0.35,44.99,9.03,0.00
bw10_239b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,18,259.62,157.26,11.47,-11.13,13.87,1.14,8.24,5.95,4.22,0.65,0.47,5,2,0.96,0.39,5.64,2.79,0.70
bw10_240b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,76,193.48,36.37,12.56,-10.04,14.96,1.17,2.83,7.70,2.39,0.88,0.60,5,1,1.12,0.51,439.17,1.93,0.70
bw10_241a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,47,216.12,189.36,10.03,-12.57,12.43,1.09,7.64,5.19,3.33,0.54,0.45,4,3,0.47,0.37,4.26,3.44,0.60
bw10_243a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,19,252.65,218.98,12.76,-9.84,15.16,1.18,9.83,7.88,4.46,0.65,0.52,5,3,0.39,0.36,5.22,3.44,0.70
bw10_243b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,37,240.74,212.74,10.00,-12.60,12.40,1.09,8.56,6.26,4.57,0.63,0.52,5,4,0.53,0.44,6.76,3.41,0.70
bw10_244a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,2,246.60,234.20,10.35,-12.25,12.75,1.11,9.47,6.25,5.51,0.60,0.58,5,4.5,0.48,0.47,5.19,5.16,0.70
bw10_244b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,8,139.54,132.97,8.34,-14.26,10.74,1.03,8.10,5.43,5.36,0.67,0.65,4,4,0.50,0.49,2.65,2.37,0.60
bw10_244c,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,6,177.94,161.39,11.50,-11.10,13.90,1.14,9.51,6.58,4.53,0.62,0.51,5,4.5,0.57,0.42,4.05,3.11,0.70
bw10_245a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,11,287.32,222.90,12.65,-9.95,15.05,1.18,9.88,7.49,4.71,0.64,0.50,6,4,0.51,0.41,5.14,3.75,0.78
bw10_246a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,21,283.04,97.00,11.37,-11.23,13.77,1.14,6.10,5.40,3.69,0.67,0.58,4,3,0.55,0.49,4.30,1.47,0.60
bw10_246b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,12,270.56,262.01,15.72,-6.88,18.12,1.26,14.34,10.55,8.43,0.68,0.57,7,6,0.45,0.41,8.65,4.46,0.85
bw10_265a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,9,338.96,318.04,14.73,-7.87,17.13,1.23,12.31,9.28,5.19,0.63,0.46,8,5,0.54,0.44,25.43,8.43,0.90
bw10_265b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,2,317.00,311.77,16.81,-5.79,19.21,1.28,15.20,9.18,8.62,0.59,0.57,7,6.5,0.44,0.43,9.29,7.24,0.85
bw10_266a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,6,254.97,244.77,10.80,-11.80,13.20,1.12,8.39,4.56,1.95,0.50,0.26,4,2,0.44,0.26,7.66,5.07,0.60
bw11_210a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,15,154.14,125.94,10.94,-11.66,13.34,1.13,8.84,7.93,6.62,0.75,0.71,7,5,0.64,0.57,3.07,2.36,0.85
bw11_211a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,25,170.76,141.41,8.81,-13.79,11.21,1.05,6.96,5.65,3.68,0.69,0.56,4,3,0.55,0.47,2.80,2.12,0.60
bw11_213b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,46,103.85,79.50,7.40,-15.20,9.80,0.99,4.30,4.48,2.23,0.80,0.55,3,2,1.47,0.48,3.56,1.58,0.48
bw11_214a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,8,101.64,84.05,8.19,-14.41,10.59,1.03,5.81,6.19,2.90,0.76,0.56,5,2.5,0.61,0.50,2.23,1.71,0.70
bw11_214b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,9,104.16,93.18,8.07,-14.53,10.47,1.02,6.45,3.62,2.81,0.65,0.48,3,3,0.61,0.46,2.75,1.29,0.48
bw11_215a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,11,145.72,116.38,6.21,-16.39,8.61,0.93,4.37,3.63,1.81,0.58,0.48,3,2,0.64,0.49,2.43,1.48,0.48
bw11_215b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,5,152.76,148.51,10.33,-12.28,12.73,1.10,9.57,6.05,5.04,0.59,0.53,5,3,0.48,0.31,3.50,2.71,0.70
bw11_218a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,162.67,137.26,11.03,-11.57,13.43,1.13,10.02,4.89,2.59,0.46,0.25,3,2,0.28,0.20,2.75,2.25,0.48
bw11_218b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,16,207.96,136.76,9.40,-13.20,11.80,1.07,7.59,5.91,3.22,0.70,0.47,5,3,0.64,0.46,3.78,2.41,0.70
bw11_219a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,2,283.03,272.16,8.52,-14.08,10.92,1.04,7.75,3.03,2.98,0.43,0.39,3,3,0.43,0.39,9.88,7.29,0.48
bw11_219b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,9,261.73,246.42,9.07,-13.53,11.47,1.06,8.74,4.55,3.56,0.51,0.42,3,3,0.41,0.34,7.02,4.05,0.48
bw11_220a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,27,271.41,236.01,10.09,-12.51,12.49,1.10,8.37,5.30,3.53,0.57,0.44,4,3,0.48,0.36,2.70,1.77,0.60
bw11_220b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,9,266.67,187.07,8.99,-13.61,11.39,1.06,7.85,5.81,3.75,0.65,0.46,4,3,0.44,0.33,6.24,4.43,0.60
bw11_221a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,18,245.29,224.89,11.52,-11.08,13.92,1.14,9.54,8.23,5.06,0.72,0.55,5,4,0.51,0.42,8.05,2.88,0.70
bw11_264a,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,12,223.53,163.66,6.58,-16.02,8.98,0.95,5.47,3.94,1.63,0.60,0.39,4,2,0.63,0.51,2.59,2.11,0.60
bw12_217b,Balaenopteridae,Rorqual,Balaenoptera_musculus,22.6,3739,134000,393960,5.60,10083.66,4.00,20.22839088,1.31,25.2,93000,4,264.62,234.05,10.93,-11.67,13.33,1.12,9.73,6.07,5.31,0.56,0.54,6,4.5,0.55,0.46,36.34,6.65,0.78
